INSTRUCTION DUMP FROM 1 TO 517

  LOC    NUM INSTRUCT   SUB        FLD IDENT


    1      0 UnitBeg       1        117
    2     14 DefBeg        0        161 definir_Y
    3      7 CntrBeg       0        138 j
    4      7 CntrBeg       0        139 v
    5     12 Index         0          1
    6     12 Index         0          2
    7     55 EndLhs        0          0
    8     12 Index         0          1
    9     12 Index         0          2
   10      2 Push          0        153 Y
   11     29 SumBeg        0          0
   12      7 CntrBeg       0        140 i
   13     12 Index         0          3
   14     12 Index         0          1
   15     12 Index         0          2
   16      2 Push          0        151 Xmas
   17     12 Index         0          3
   18     12 Index         0          1
   19     12 Index         0          2
   20      2 Push          0        152 Xmenos
   21      6 AddOp         1          0
   22     30 SumOp         0          0
   23      8 CntrEnd       0          0
   24     29 SumBeg        0          0
   25      7 CntrBeg       0        140 i
   26     12 Index         0          1
   27     12 Index         0          3
   28     12 Index         0          2
   29      2 Push          0        151 Xmas
   30     12 Index         0          1
   31     12 Index         0          3
   32     12 Index         0          2
   33      2 Push          0        152 Xmenos
   34      6 AddOp         1          0
   35     30 SumOp         0          0
   36      8 CntrEnd       0          0
   37      6 AddOp         1          0
   38     42 EquOp         0          0
   39     15 DefOp         0        161 definir_Y
   40      8 CntrEnd       0          2
   41      8 CntrEnd       0          1
   42     16 DefEnd        0        161 definir_Y
   43      1 UnitEnd       0          0

   44      0 UnitBeg       1        119
   45     14 DefBeg        0        162 solo_arcos_buenos_mas
   46      7 CntrBeg       0        140 i
   47      7 CntrBeg       0        138 j
   48      7 CntrBeg       0        139 v
   49     25 Ord           0          1
   50     25 Ord           0          2
   51     38 RelOp         4          0
   52      9 CntrJmp       0          0
   53     12 Index         0          1
   54     12 Index         0          2
   55     12 Index         0          3
   56     55 EndLhs        0          0
   57     12 Index         0          2
   58     12 Index         0          1
   59     12 Index         0          3
   60      2 Push          0        151 Xmas
   61     21 Immed         0         10  0.00000000000000E+0000
   62     42 EquOp         0          0
   63     15 DefOp         0        162 solo_arcos_buenos_mas
   64      8 CntrEnd       0          3
   65      8 CntrEnd       0          2
   66      8 CntrEnd       0          1
   67     16 DefEnd        0        162 solo_arcos_buenos_mas
   68      1 UnitEnd       0          0

   69      0 UnitBeg       1        120
   70     14 DefBeg        0        163 solo_arcos_buenos_menos
   71      7 CntrBeg       0        140 i
   72      7 CntrBeg       0        138 j
   73      7 CntrBeg       0        139 v
   74     25 Ord           0          1
   75     25 Ord           0          2
   76     38 RelOp         4          0
   77      9 CntrJmp       0          0
   78     12 Index         0          1
   79     12 Index         0          2
   80     12 Index         0          3
   81     55 EndLhs        0          0
   82     12 Index         0          2
   83     12 Index         0          1
   84     12 Index         0          3
   85      2 Push          0        152 Xmenos
   86     21 Immed         0         10  0.00000000000000E+0000
   87     42 EquOp         0          0
   88     15 DefOp         0        163 solo_arcos_buenos_menos
   89      8 CntrEnd       0          3
   90      8 CntrEnd       0          2
   91      8 CntrEnd       0          1
   92     16 DefEnd        0        163 solo_arcos_buenos_menos
   93      1 UnitEnd       0          0

   94      0 UnitBeg       1        123
   95     14 DefBeg        0        164 lim_provisiones
   96     55 EndLhs        0          0
   97     29 SumBeg        0          0
