INSTRUCTION DUMP FROM 1 TO 332

  LOC    NUM INSTRUCT   SUB        FLD IDENT


    1      0 UnitBeg       1        102
    2     14 DefBeg        0        159 definir_Y
    3      7 CntrBeg       0        138 j
    4      7 CntrBeg       0        139 t
    5      7 CntrBeg       0        140 v
    6     25 Ord           0          2
    7     21 Immed         0          9  1.00000000000000E+0000
    8     38 RelOp         1          0
    9      9 CntrJmp       0          0
   10     12 Index         0          1
   11     12 Index         0          2
   12     12 Index         0          3
   13     55 EndLhs        0          0
   14     12 Index         0          1
   15     12 Index         0          2
   16     12 Index         0          3
   17      2 Push          0        151 Y
   18     12 Index         0          1
   19     21 Immed         0          9  1.00000000000000E+0000
   20     13 LagIndx       1          2
   21     12 Index         0          3
   22      2 Push          0        151 Y
   23     29 SumBeg        0          0
   24      7 CntrBeg       0        141 i
   25     12 Index         0          4
   26     12 Index         0          1
   27     12 Index         0          2
   28     12 Index         0          3
   29      2 Push          0        150 X
   30     30 SumOp         0          0
   31      8 CntrEnd       0          0
   32      6 AddOp         0          0
   33     29 SumBeg        0          0
   34      7 CntrBeg       0        141 i
   35     12 Index         0          1
   36     12 Index         0          4
   37     12 Index         0          2
   38     12 Index         0          3
   39      2 Push          0        150 X
   40     30 SumOp         0          0
   41      8 CntrEnd       0          0
   42      6 AddOp         1          0
   43     42 EquOp         0          0
   44     15 DefOp         0        159 definir_Y
   45      8 CntrEnd       0          3
   46      8 CntrEnd       0          2
   47      8 CntrEnd       0          1
   48     16 DefEnd        0        159 definir_Y
   49      1 UnitEnd       0          0

   50      0 UnitBeg       1        104
   51     14 DefBeg        0        160 definir_Z
   52      7 CntrBeg       0        138 j
   53      7 CntrBeg       0        140 v
   54     12 Index         0          1
   55     12 Index         0          2
   56     55 EndLhs        0          0
   57     12 Index         0          1
   58     12 Index         0          2
   59      2 Push          0        152 Z
   60     12 Index         0          1
   61     11 String        0          4
   62     12 Index         0          2
   63      2 Push          0        151 Y
   64     42 EquOp         0          0
   65     15 DefOp         0        160 definir_Z
   66      8 CntrEnd       0          2
   67      8 CntrEnd       0          1
   68     16 DefEnd        0        160 definir_Z
   69      1 UnitEnd       0          0

   70      0 UnitBeg       1        105
   71     14 DefBeg        0        161 definir_Z_
   72      7 CntrBeg       0        138 j
   73     12 Index         0          1
   74     55 EndLhs        0          0
   75     12 Index         0          1
   76      2 Push          0        153 Z_
   77     29 SumBeg        0          0
   78      7 CntrBeg       0        140 v
   79     12 Index         0          1
   80     12 Index         0          2
   81      2 Push          0        152 Z
   82     12 Index         0          2
   83      2 Push          0        146 capacidad_vehiculo
   84      4 MultOp        0          0
   85     30 SumOp         0          0
   86      8 CntrEnd       0          0
   87     42 EquOp         0          0
   88     15 DefOp         0        161 definir_Z_
   89      8 CntrEnd       0          1
   90     16 DefEnd        0        161 definir_Z_
   91      1 UnitEnd       0          0

   92      0 UnitBeg       1        106
   93     14 DefBeg        0        162 definir_auxZ
   94      7 CntrBeg       0        138 j
   95     12 Index         0          1
   96     55 EndLhs        0          0
   97     12 Index         0          1
   98      2 Push          0        154 auxZ
   99     12 Index         0          1
  100      2 Push          0        153 Z_
  101     42 EquOp         2          0
